GP,P,Child
210,16,LC08_L1TP_210016_20170711_20170711_01_RT
210,17,LC08_L1TP_210017_20170711_20170711_01_RT
181,27,LC08_L1TP_181027_20170716_20170716_01_RT
181,28,LC08_L1TP_181028_20170716_20170716_01_RT
181,29,LC08_L1TP_181029_20170716_20170716_01_RT
181,30,LC08_L1GT_181030_20170716_20170716_01_RT
181,31,LC08_L1TP_181031_20170716_20170716_01_RT
181,32,LC08_L1TP_181032_20170716_20170716_01_RT
181,33,LC08_L1TP_181033_20170716_20170716_01_RT
181,34,LC08_L1TP_181034_20170716_20170716_01_RT
181,35,LC08_L1TP_181035_20170716_20170716_01_RT
